event_time,user_id,event_type,transaction_category,miles_amount,platform,utm_source,country
2025-05-04 09:50:20.784808,u_0081,miles_earned,dining,516.0,web,organic,TH
2025-03-10 02:42:01.632612,u_0015,miles_earned,ecommerce,92.0,web,organic,SG
2025-04-01 14:44:25.979638,u_0027,miles_earned,dining,493.0,android,tiktok,SG
2025-03-27 22:48:44.699845,u_0037,share,,,android,google,TH
2025-05-13 03:27:18.161339,u_0038,miles_earned,dining,599.0,ios,tiktok,TH
2025-05-07 18:20:53.214200,u_0049,miles_redeemed,flight,1836.0,web,referral,MY
2025-05-27 03:47:06.318473,u_0040,share,,,web,tiktok,MY
2025-03-15 16:27:54.362526,u_0048,miles_earned,ecommerce,114.0,web,facebook,SG
2025-04-14 20:01:42.069873,u_0010,miles_redeemed,flight,2249.0,ios,tiktok,MY
2025-03-10 13:02:21.178350,u_0026,miles_earned,ecommerce,107.0,android,tiktok,MY
2025-03-27 12:56:06.892073,u_0051,miles_earned,shopping,1194.0,ios,facebook,SG
2025-04-22 08:14:40.720292,u_0017,miles_earned,shopping,997.0,ios,google,PH
2025-03-10 05:59:41.700262,u_0092,reward_search,shopee,,web,referral,ID
2025-03-25 18:09:59.571739,u_0094,miles_redeemed,hotel,901.0,web,organic,ID
2025-05-05 08:25:39.388174,u_0082,share,,,android,tiktok,SG
2025-04-25 21:45:02.953171,u_0017,reward_search,lululemon,,android,google,PH
2025-03-27 16:49:44.276989,u_0075,reward_search,apple,,ios,organic,MY
2025-04-29 21:29:27.957819,u_0023,miles_earned,ecommerce,87.0,web,google,TH
2025-05-19 17:02:49.231127,u_0056,miles_earned,shopping,1139.0,web,facebook,PH
2025-03-08 10:42:52.355257,u_0099,miles_earned,shopping,1034.0,ios,facebook,SG
2025-05-19 09:14:48.502252,u_0032,miles_earned,ecommerce,84.0,web,google,SG
2025-05-09 16:39:29.935428,u_0060,miles_earned,dining,453.0,android,organic,PH
2025-04-07 11:37:06.016444,u_0067,miles_earned,shopping,1123.0,web,referral,MY
2025-03-21 20:30:46.590536,u_0018,reward_search,lululemon,,ios,google,PH
2025-06-02 00:15:26.849480,u_0009,miles_redeemed,flight,1819.0,web,google,TH
